Ng,Angle of shearing resistance
0.52,9.09
0.57,9.38
0.61,9.7
0.66,9.91
0.71,10.2
0.77,10.52
0.83,10.83
0.89,11.16
0.97,11.5
1.04,11.89
1.13,12.26
1.21,12.68
1.31,13.07
1.41,13.41
1.53,13.78
1.65,14.2
1.78,14.62
1.92,15.04
2.07,15.44
2.24,15.83
2.42,16.25
2.61,16.7
2.81,17.17
3.04,17.63
3.28,18.06
3.54,18.51
3.82,18.94
4.12,19.38
4.45,19.84
4.8,20.31
5.18,20.78
5.6,21.3
6.04,21.83
6.52,22.39
7.04,22.95
7.6,23.43
8.2,23.93
8.85,24.41
9.55,24.97
10.31,25.48
11.13,26.03
12.01,26.55
12.97,27.05
13.99,27.56
15.11,28.09
16.3,28.61
17.6,29.11
19,29.62
20.5,30.17
22.13,30.58
23.89,31.08
25.78,31.7
27.83,32.31
30.04,32.89
32.42,33.4
35,33.94
37.78,34.47
40.77,35.01
44.01,35.56
47.5,36.08
51.28,36.43
55.35,36.72
59.74,37.07
64.48,37.53
69.6,38.01
75.12,38.43
81.09,38.81
87.52,39.23
94.47,39.71
102.54,40.06
112.48,40.48
120.46,40.77
130.02,41.09
140.35,41.38
151.49,41.67
163.51,41.98
176.49,42.28
190.5,42.59
205.62,42.9
221.94,43.19
239.56,43.46
258.58,43.76
279.1,44.01
301.26,44.31
325.17,44.54
350.98,44.86
